ALPS.Score,ALPS.Subject,ALPS.Grade
0,AD,9
0.69,AD,8
0.9,AD,7
0.99,AD,6
1.05,AD,5
1.1,AD,4
1.16,AD,3
1.23,AD,2
1.39,AD,1
0,AH,9
0.69,AH,8
0.84,AH,7
0.9,AH,6
0.93,AH,5
0.97,AH,4
1,AH,3
1.05,AH,2
1.13,AH,1
0,BI,9
0.58,BI,8
0.73,BI,7
0.8,BI,6
0.84,BI,5
0.88,BI,4
0.92,BI,3
0.96,BI,2
1.07,BI,1
0,BS,9
0.73,BS,8
0.87,BS,7
0.93,BS,6
0.97,BS,5
1.02,BS,4
1.05,BS,3
1.12,BS,2
1.23,BS,1
0,CH,9
0.59,CH,8
0.73,CH,7
0.8,CH,6
0.84,CH,5
0.89,CH,4
0.92,CH,3
0.97,CH,2
1.06,CH,1
0,CL,9
0.7,CL,8
0.86,CL,7
0.92,CL,6
0.95,CL,5
1,CL,4
1.04,CL,3
1.1,CL,2
1.16,CL,1
0,DA,9
0.63,DA,8
0.86,DA,7
0.95,DA,6
1.01,DA,5
1.09,DA,4
1.15,DA,3
1.23,DA,2
1.4,DA,1
0,DF,9
0.59,DF,8
0.8,DF,7
0.88,DF,6
0.93,DF,5
1.01,DF,4
1.06,DF,3
1.14,DF,2
1.44,DF,1
0,DG,9
0.81,DG,8
0.87,DG,7
0.91,DG,6
0.95,DG,5
0.98,DG,4
1.1,DG,3
1.14,DG,2
1.22,DG,1
0,DM,9
0.67,DM,8
0.85,DM,7
0.93,DM,6
0.97,DM,5
1.02,DM,4
1.07,DM,3
1.13,DM,2
1.27,DM,1
0,DT,9
0.53,DT,8
0.77,DT,7
0.86,DT,6
0.92,DT,5
0.98,DT,4
1.03,DT,3
1.11,DT,2
1.26,DT,1
0,EC,9
0.73,EC,8
0.87,EC,7
0.92,EC,6
0.96,EC,5
0.99,EC,4
1.03,EC,3
1.07,EC,2
1.21,EC,1
0,EE,9
0.76,EE,8
0.89,EE,7
0.93,EE,6
0.96,EE,5
1,EE,4
1.03,EE,3
1.09,EE,2
1.23,EE,1
0,EL,9
0.74,EL,8
0.88,EL,7
0.92,EL,6
0.95,EL,5
0.99,EL,4
1.02,EL,3
1.06,EL,2
1.16,EL,1
0,EN,9
0.73,EN,8
0.87,EN,7
0.93,EN,6
0.96,EN,5
1,EN,4
1.03,EN,3
1.09,EN,2
1.19,EN,1
0,FR,9
0.51,FR,8
0.77,FR,7
0.84,FR,6
0.88,FR,5
0.93,FR,4
0.97,FR,3
1.03,FR,2
1.14,FR,1
0,FS,9
0.76,FS,8
0.97,FS,7
1.03,FS,6
1.06,FS,5
1.09,FS,4
1.13,FS,3
1.18,FS,2
1.27,FS,1
0,GG,9
0.7,GG,8
0.85,GG,7
0.91,GG,6
0.95,GG,5
0.99,GG,4
1.02,GG,3
1.07,GG,2
1.18,GG,1
0,GM,9
0.46,GM,8
0.7,GM,7
0.79,GM,6
0.85,GM,5
0.92,GM,4
0.96,GM,3
1.04,GM,2
1.29,GM,1
0,HB,9
0.54,HB,8
0.65,HB,7
0.71,HB,6
0.76,HB,5
0.81,HB,4
0.86,HB,3
0.91,HB,2
0.94,HB,1
0,HI,9
0.69,HI,8
0.84,HI,7
0.9,HI,6
0.93,HI,5
0.97,HI,4
1,HI,3
1.05,HI,2
1.13,HI,1
0,IT,9
0.53,IT,8
0.71,IT,7
0.81,IT,6
0.86,IT,5
0.92,IT,4
0.97,IT,3
1.04,IT,2
1.17,IT,1
0,LW,9
0.54,LW,8
0.82,LW,7
0.9,LW,6
0.94,LW,5
1,LW,4
1.04,LW,3
1.1,LW,2
1.31,LW,1
