ALPS.Score,ALPS.Subject,ALPS.Grade
0,VA,9
0.92,VA,8
1.11,VA,7
1.14,VA,6
1.19,VA,5
1.23,VA,4
1.28,VA,3
1.31,VA,2
1.4,VA,1
0,VB,9
0.45,VB,8
0.9,VB,7
0.95,VB,6
1.06,VB,5
1.13,VB,4
1.19,VB,3
1.27,VB,2
1.36,VB,1
0,DF,9
0.57,DF,8
0.81,DF,7
0.9,DF,6
0.96,DF,5
1.03,DF,4
1.09,DF,3
1.14,DF,2
1.25,DF,1
0,VB,9
0.45,VB,8
0.9,VB,7
0.95,VB,6
1.06,VB,5
1.13,VB,4
1.19,VB,3
1.27,VB,2
1.36,VB,1
0,VH,9
0.58,VH,8
0.79,VH,7
0.97,VH,6
1.04,VH,5
1.12,VH,4
1.19,VH,3
1.26,VH,2
1.46,VH,1
0,AD,9
0.66,AD,8
0.91,AD,7
1.03,AD,6
1.09,AD,5
1.14,AD,4
1.19,AD,3
1.26,AD,2
1.41,AD,1
0,AH,9
0.78,AH,8
0.85,AH,7
0.9,AH,6
0.95,AH,5
1.05,AH,4
1.08,AH,3
1.17,AH,2
1.18,AH,1
0,BI,9
0.5,BI,8
0.65,BI,7
0.73,BI,6
0.78,BI,5
0.84,BI,4
0.89,BI,3
0.96,BI,2
1.08,BI,1
0,BS,9
0.62,BS,8
0.8,BS,7
0.88,BS,6
0.94,BS,5
0.99,BS,4
1.04,BS,3
1.1,BS,2
1.26,BS,1
0,BS,9
0.65,BS,8
0.84,BS,7
0.92,BS,6
0.99,BS,5
1.06,BS,4
1.11,BS,3
1.18,BS,2
1.37,BS,1
0,CH,9
0.48,CH,8
0.63,CH,7
0.72,CH,6
0.78,CH,5
0.83,CH,4
0.88,CH,3
0.95,CH,2
1.09,CH,1
0,CL,9
0.62,CL,8
0.88,CL,7
0.95,CL,6
0.99,CL,5
1.05,CL,4
1.09,CL,3
1.12,CL,2
1.16,CL,1
0,DA,9
0.64,DA,8
0.88,DA,7
1.01,DA,6
1.08,DA,5
1.13,DA,4
1.16,DA,3
1.24,DA,2
1.43,DA,1
0,DT,9
0.55,DT,8
0.75,DT,7
0.86,DT,6
0.92,DT,5
1.01,DT,4
1.06,DT,3
1.14,DT,2
1.3,DT,1
0,PT,9
0.66,PT,8
0.91,PT,7
1.03,PT,6
1.09,PT,5
1.14,PT,4
1.19,PT,3
1.26,PT,2
1.41,PT,1
0,DM,9
0.68,DM,8
0.95,DM,7
1.05,DM,6
1.1,DM,5
1.16,DM,4
1.21,DM,3
1.28,DM,2
1.46,DM,1
0,EC,9
0.57,EC,8
0.74,EC,7
0.81,EC,6
0.86,EC,5
0.94,EC,4
0.99,EC,3
1.05,EC,2
1.26,EC,1
0,EE,9
0.75,EE,8
0.89,EE,7
0.98,EE,6
1.01,EE,5
1.07,EE,4
1.11,EE,3
1.15,EE,2
1.29,EE,1
0,EL,9
0.76,EL,8
0.95,EL,7
1.01,EL,6
1.04,EL,5
1.1,EL,4
1.13,EL,3
1.18,EL,2
1.3,EL,1
0,EN,9
0.63,EN,8
0.86,EN,7
0.91,EN,6
0.96,EN,5
1.02,EN,4
1.06,EN,3
1.12,EN,2
1.26,EN,1
0,FS,9
0.73,FS,8
1.06,FS,7
1.12,FS,6
1.16,FS,5
1.2,FS,4
1.24,FS,3
1.3,FS,2
1.51,FS,1
0,FR,9
0.38,FR,8
0.68,FR,7
0.79,FR,6
0.85,FR,5
0.92,FR,4
0.96,FR,3
1.03,FR,2
1.36,FR,1
0,MF,9
0.44,MF,8
0.78,MF,7
0.91,MF,6
0.97,MF,5
1.04,MF,4
1.09,MF,3
1.14,MF,2
1.27,MF,1
0,GG,9
0.56,GG,8
0.81,GG,7
0.88,GG,6
0.93,GG,5
1,GG,4
1.04,GG,3
1.1,GG,2
1.2,GG,1
0,GM,9
0.35,GM,8
0.65,GM,7
0.76,GM,6
0.84,GM,5
0.92,GM,4
0.98,GM,3
1.07,GM,2
1.39,GM,1
0,HI,9
0.65,HI,8
0.83,HI,7
0.91,HI,6
0.96,HI,5
1.01,HI,4
1.05,HI,3
1.11,HI,2
1.23,HI,1
0,HB,9
0.45,HB,8
0.59,HB,7
0.68,HB,6
0.75,HB,5
0.81,HB,4
0.87,HB,3
0.96,HB,2
1.26,HB,1
0,IT,9
0.5,IT,8
0.72,IT,7
0.8,IT,6
0.86,IT,5
0.95,IT,4
1.02,IT,3
1.11,IT,2
1.32,IT,1
0,LW,9
0.56,LW,8
0.7,LW,7
0.83,LW,6
0.88,LW,5
0.96,LW,4
1.02,LW,3
1.12,LW,2
1.33,LW,1
0,MA,9
0.38,MA,8
0.67,MA,7
0.76,MA,6
0.82,MA,5
0.89,MA,4
0.94,MA,3
1,MA,2
1.14,MA,1
0,MS,9
0.67,MS,8
0.94,MS,7
1.04,MS,6
1.1,MS,5
1.16,MS,4
1.2,MS,3
1.26,MS,2
1.42,MS,1
0,MU,9
0.58,MU,8
0.78,MU,7
0.88,MU,6
0.93,MU,5
1,MU,4
1.05,MU,3
1.13,MU,2
1.31,MU,1
0,MT,9
0.48,MT,8
0.78,MT,7
0.89,MT,6
0.95,MT,5
1.03,MT,4
1.11,MT,3
1.19,MT,2
1.41,MT,1
0,PA,9
0.56,PA,8
0.88,PA,7
0.96,PA,6
1.01,PA,5
1.12,PA,4
1.21,PA,3
1.26,PA,2
1.35,PA,1
0,PL,9
0.44,PL,8
0.59,PL,7
0.75,PL,6
0.82,PL,5
0.9,PL,4
0.94,PL,3
1.03,PL,2
1.16,PL,1
0,PT,9
0.66,PT,8
0.91,PT,7
1.03,PT,6
1.09,PT,5
1.14,PT,4
1.19,PT,3
1.26,PT,2
1.41,PT,1
0,PE,9
0.49,PE,8
0.7,PE,7
0.8,PE,6
0.86,PE,5
0.95,PE,4
1.03,PE,3
1.12,PE,2
1.28,PE,1
0,PH,9
0.48,PH,8
0.64,PH,7
0.73,PH,6
0.79,PH,5
0.85,PH,4
0.91,PH,3
0.96,PH,2
1.08,PH,1
0,PO,9
0.53,PO,8
0.83,PO,7
0.89,PO,6
0.95,PO,5
1.01,PO,4
1.06,PO,3
1.12,PO,2
1.24,PO,1
0,PY,9
0.49,PY,8
0.71,PY,7
0.8,PY,6
0.85,PY,5
0.92,PY,4
0.97,PY,3
1.04,PY,2
1.19,PY,1
0,RE,9
0.68,RE,8
0.88,RE,7
0.96,RE,6
1,RE,5
1.07,RE,4
1.11,RE,3
1.17,RE,2
1.3,RE,1
0,SO,9
0.59,SO,8
0.83,SO,7
0.93,SO,6
0.99,SO,5
1.06,SO,4
1.11,SO,3
1.19,SO,2
1.41,SO,1
0,SP,9
0.58,SP,8
0.72,SP,7
0.78,SP,6
0.84,SP,5
0.92,SP,4
0.97,SP,3
1.05,SP,2
1.34,SP,1
0,TT,9
0.68,TT,8
0.8,TT,7
0.94,TT,6
1.01,TT,5
1.1,TT,4
1.18,TT,3
1.26,TT,2
1.35,TT,1
0,General,9
0.58,General,8
0.8,General,7
0.89,General,6
0.96,General,5
1.03,General,4
1.09,General,3
1.16,General,2
1.31,General,1
